"base_asset_id","base_exchange_symbol","q2_pair_count","q2_typed_observation_count","current_candidate_count","current_candidate_ids","current_candidate_names","candidate_records_json","candidate_records_sha256","mapping_status","mapping_approved"
"AGLD","AGLD","2","1790","1","adventure-gold","Adventure Gold","[{""id"":""adventure-gold"",""symbol"":""agld"",""name"":""Adventure Gold"",""platforms"":{""ethereum"":""0x32353a6c91143bfd6c7d363b546e62a9a2489a20""}}]","b7cfa4bdfde39f38788288f52fa98211f51aa0378aa61d1b053b55b09754b674","single_current_candidate_review_required","False"
"AI16Z","AI16Z","4","60380","1","ai16z","ai16z","[{""id"":""ai16z"",""symbol"":""ai16z"",""name"":""ai16z"",""platforms"":{""solana"":""HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC""}}]","6e42854c441c1f62b2b67ea4a24d17da506dd9782b6cd6acd243542153c8a959","single_current_candidate_review_required","False"
"AIR","AIR","2","10824","2","airian|spacebar","AIRian|Spacebar","[{""id"":""airian"",""symbol"":""air"",""name"":""AIRian"",""platforms"":{""ethereum"":""0x294b9da569c0d694870239813bbe7b5824fd2339""}},{""id"":""spacebar"",""symbol"":""air"",""name"":""Spacebar"",""platforms"":{}}]","ce0f5db227fb07c314dc79fbc8028cff0e1bb38108fa188124f3c4e3484fdc81","ambiguous_current_candidates","False"
"AIXBT","AIXBT","2","18186","1","aixbt","aixbt","[{""id"":""aixbt"",""symbol"":""aixbt"",""name"":""aixbt"",""platforms"":{""base"":""0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825"",""ethereum"":""0x0d37af9d8ae74f35f3a38bd2a08fcb29890ca6d2"",""solana"":""14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX""}}]","9ce29d0e9f4ac0698c9bb7259ab03c328aac2fcf6bfec245687ad59689d5c9a8","single_current_candidate_review_required","False"
"AKT","AKT","2","44050","2","akash-network|akita-inu-2","Akash Network|Akita Inu","[{""id"":""akash-network"",""symbol"":""akt"",""name"":""Akash Network"",""platforms"":{""akash"":""uakt"",""archway"":""ibc/C2CFB1C37C146CF95B0784FD518F8030FEFC76C5800105B1742FB65FFE65F873"",""osmosis"":""ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4""}},{""id"":""akita-inu-2"",""symbol"":""akt"",""name"":""Akita Inu"",""platforms"":{""solana"":""hUoehiMy279k95UeSijKkjx7RUsb676KSDgJ2i3xYbW""}}]","37ea9f5766a31b20c86c5aa00f03844e78b40201c710b9e246e4e2956171e4da","ambiguous_current_candidates","False"
"ALCH","ALCH","2","4827","1","alchemist-ai","Alchemist AI","[{""id"":""alchemist-ai"",""symbol"":""alch"",""name"":""Alchemist AI"",""platforms"":{""solana"":""HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump""}}]","30b92e166df4f5290785c9cf6eaa63e2c09a98e085d2d373b6b70d7038c3495c","single_current_candidate_review_required","False"
"ALCX","ALCX","2","4544","1","alchemix","Alchemix","[{""id"":""alchemix"",""symbol"":""alcx"",""name"":""Alchemix"",""platforms"":{""ethereum"":""0xdbdb4d16eda451d0503b854cf79d55697f90c8df"",""near-protocol"":""dbdb4d16eda451d0503b854cf79d55697f90c8df.factory.bridge.near""}}]","5d7074cf57ab40d0cf775ef57b0ffd669498fbb41af5591cc295f378ad61ee6a","single_current_candidate_review_required","False"
"ALGO","ALGO","7","105133","2","algorand|dear-algorithm","Algorand|Dear Algorithm","[{""id"":""algorand"",""symbol"":""algo"",""name"":""Algorand"",""platforms"":{}},{""id"":""dear-algorithm"",""symbol"":""algo"",""name"":""Dear Algorithm"",""platforms"":{""solana"":""3F57ME7sgqaGnajTd5XZeAzsgmE1nxyZvkAUsvRgpump""}}]","d2cb2597bc0f345370dfaceefa1f3756349727a5e3bf40e8d7cb51d933db42a7","ambiguous_current_candidates","False"
"ALICE","ALICE","2","1351","3","alice-2|alice-4|my-neighbor-alice","AdaptLearnIntellectCompanyEngine|Alice|My Neighbor Alice","[{""id"":""alice-2"",""symbol"":""alice"",""name"":""Alice"",""platforms"":{""internet-computer"":""oj6if-riaaa-aaaaq-aaeha-cai""}},{""id"":""alice-4"",""symbol"":""alice"",""name"":""AdaptLearnIntellectCompanyEngine"",""platforms"":{""solana"":""HWrgYyGdivwuxV2ePxbk6vwkrKYqMa7is9fYMm5kcQWY""}},{""id"":""my-neighbor-alice"",""symbol"":""alice"",""name"":""My Neighbor Alice"",""platforms"":{""binance-smart-chain"":""0xac51066d7bec65dc4589368da368b212745d63e8"",""ethereum"":""0xac51066d7bec65dc4589368da368b212745d63e8""}}]","0d3b85fdad602981f36390e91707a3d75910c9b5d1a7d860280404bb4464f914","ambiguous_current_candidates","False"
"ALPHA","ALPHA","2","9500","7","alpha-3|alpha-4|alpha-6|alphaarc|alphablockai|alpha-fi|alpha-finance","Alpha|Alpha|Alpha Fi|AlphaArc|AlphaBlockAI|Reject Modernity|Stella","[{""id"":""alpha-3"",""symbol"":""alpha"",""name"":""Reject Modernity"",""platforms"":{""solana"":""2zrH2jE542mzB4HABgBjdWMQPtNC5H12pwo1iLpfpump""}},{""id"":""alpha-4"",""symbol"":""alpha"",""name"":""Alpha"",""platforms"":{""solana"":""2sCUCJdVkmyXp4dT8sFaA9LKgSMK4yDPi9zLHiwXpump""}},{""id"":""alpha-6"",""symbol"":""alpha"",""name"":""Alpha"",""platforms"":{""base"":""0x3d01fe5a38ddbd307fdd635b4cb0e29681226d6f""}},{""id"":""alphaarc"",""symbol"":""alpha"",""name"":""AlphaArc"",""platforms"":{""solana"":""Cg93SZJkHePybZqGDuyXLf5Ag5sB2cpWfHUG8wNPpump""}},{""id"":""alphablockai"",""symbol"":""alpha"",""name"":""AlphaBlockAI"",""platforms"":{""solana"":""3wtGGWZ8wLWW6BqtC5rxmkHdqvM62atUcGTH4cw3pump""}},{""id"":""alpha-fi"",""symbol"":""alpha"",""name"":""Alpha Fi"",""platforms"":{""sui"":""0xfe3afec26c59e874f3c1d60b8203cb3852d2bb2aa415df9548b8d688e6683f93::alpha::ALPHA""}},{""id"":""alpha-finance"",""symbol"":""alpha"",""name"":""Stella"",""platforms"":{""avalanche"":""0x2147efff675e4a4ee1c2f918d181cdbd7a8e208f"",""binance-smart-chain"":""0xa1faa113cbe53436df28ff0aee54275c13b40975"",""energi"":""0x05b357201b31093a13a22d76de1b1eb23ad83017"",""ethereum"":""0xa1faa113cbe53436df28ff0aee54275c13b40975""}}]","b064018729503e749835f010a58e4f027494d9fd02a939e085b324682035f16b","ambiguous_current_candidates","False"
"ALT","ALT","2","6938","5","alitas|alt|altcoin-2|altdeer|altlayer","Alitas|ALT|Altcoin|ALTDeer|AltLayer","[{""id"":""alitas"",""symbol"":""alt"",""name"":""Alitas"",""platforms"":{""binance-smart-chain"":""0x5ca09af27b8a4f1d636380909087536bc7e2d94d""}},{""id"":""alt"",""symbol"":""alt"",""name"":""ALT"",""platforms"":{""hyperevm"":""0xa3882d42ed12b57c10c85e8ec8febd0774600000""}},{""id"":""altcoin-2"",""symbol"":""alt"",""name"":""Altcoin"",""platforms"":{""solana"":""Cdq1WR1d4i2hMrqKUWgZeUbRpkhamGHSvm1f6ATpuray""}},{""id"":""altdeer"",""symbol"":""alt"",""name"":""ALTDeer"",""platforms"":{""binance-smart-chain"":""0x2eb0d0586454f6d4b1bc00e9e79bf8aa2233c258""}},{""id"":""altlayer"",""symbol"":""alt"",""name"":""AltLayer"",""platforms"":{""binance-smart-chain"":""0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb"",""ethereum"":""0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb""}}]","0c03f5cc23f82677db18616cfe0629202df59b50bbcdee618d583809673f3676","ambiguous_current_candidates","False"
"ANKR","ANKR","3","7933","1","ankr","Ankr Network","[{""id"":""ankr"",""symbol"":""ankr"",""name"":""Ankr Network"",""platforms"":{""arbitrum-one"":""0xaeaeed23478c3a4b798e4ed40d8b7f41366ae861"",""avalanche"":""0xdf474b7109b73b7d57926d43598d5934131136b2"",""binance-smart-chain"":""0xf307910a4c7bbc79691fd374889b36d8531b08e3"",""blast"":""0x3580ac35bed2981d6bdd671a5982c2467d301241"",""ethereum"":""0x8290333cef9e6d528dd5618fb97a76f268f3edd4"",""fantom"":""0xdf474b7109b73b7d57926d43598d5934131136b2"",""linea"":""0xa8ae6365383eb907e6b4b1b7e82a35752cc5ef8c"",""mode"":""0xdf474b7109b73b7d57926d43598d5934131136b2"",""optimistic-ethereum"":""0xaeaeed23478c3a4b798e4ed40d8b7f41366ae861"",""polygon-pos"":""0x101a023270368c0d50bffb62780f4afd4ea79c35"",""polygon-zkevm"":""0xdf474b7109b73b7d57926d43598d5934131136b2"",""scroll"":""0xdf474b7109b73b7d57926d43598d5934131136b2""}}]","4d10402f8c21e17914f1668eb95be7b736ee976da7c747bd31d0428a4d6c69e6","single_current_candidate_review_required","False"
"ANLOG","ANLOG","2","2418","1","analog","Analog","[{""id"":""analog"",""symbol"":""anlog"",""name"":""Analog"",""platforms"":{""base"":""0x5305ba038217c391af7e79f6f653c8cbc433deba""}}]","2f24e799f5eb193c80c5ccfffb076d30d754e53f4252c6d1f297d66326a811e5","single_current_candidate_review_required","False"
"ANON","ANON","2","15749","6","anon-2|anon-ton|anonymous|anonymous-coin-2|heyanon|super-anon","Anon|ANON|anon|Anonymous|Anonymous Coin|Hey Anon","[{""id"":""anon-2"",""symbol"":""anon"",""name"":""anon"",""platforms"":{""solana"":""HqVZaYJnEcmKQKRf4K5N8eEuBjkTgpRzVfF7AYBFpump""}},{""id"":""anon-ton"",""symbol"":""anon"",""name"":""ANON"",""platforms"":{""the-open-network"":""EQDv-yr41_CZ2urg2gfegVfa44PDPjIK9F-MilEDKDUIhlwZ""}},{""id"":""anonymous"",""symbol"":""anon"",""name"":""Anonymous"",""platforms"":{""solana"":""8VJ51bdE3xorQ1zB7FEa8CsHdM4kw77xCFiCgbnL2qbT""}},{""id"":""anonymous-coin-2"",""symbol"":""anon"",""name"":""Anonymous Coin"",""platforms"":{""solana"":""FhvBDEr46meW6NHWHNeShDzvbXWabNzyT6uGinEgBAGS""}},{""id"":""heyanon"",""symbol"":""anon"",""name"":""Hey Anon"",""platforms"":{""arbitrum-one"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""avalanche"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""base"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""binance-smart-chain"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""ethereum"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""hyperevm"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""hyperliquid"":""0x5b56ac883c628df1fe24d463b3ac82ac"",""iota-evm"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""kava"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""metis-andromeda"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""robinhood"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c"",""solana"":""9McvH6w97oewLmPxqQEoHUAv3u5iYMyQ9AeZZhguYf1T"",""sonic"":""0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c""}},{""id"":""super-anon"",""symbol"":""anon"",""name"":""Anon"",""platforms"":{""base"":""0x0db510e79909666d6dec7f5e49370838c16d950f""}}]","8b4c4ca67c02df7e926da20d3d2ab203c341e2339f37993e3570a250ed3a37e0","ambiguous_current_candidates","False"
"APE","APE","4","19629","4","ape-3|apecoin|ape-lol|apetos","Ape|Ape.lol|ApeCoin|Apetos","[{""id"":""ape-3"",""symbol"":""ape"",""name"":""Ape"",""platforms"":{""ethereum"":""0xa0385e7283c83e2871e9af49eec0966088421ddd""}},{""id"":""apecoin"",""symbol"":""ape"",""name"":""ApeCoin"",""platforms"":{""arbitrum-one"":""0x7f9fbf9bdd3f4105c478b996b648fe6e828a1e98"",""binance-smart-chain"":""0x8f86a15ec17cb3369d8b3e666dadbc11daa82b79"",""ethereum"":""0x4d224452801aced8b2f0aebe155379bb5d594381"",""hyperevm"":""0xab11329560fa9c9c860bb21a9342215a1265bbb0"",""monad"":""0x6a7e3f839382fbb6a6131d4aae864aaeb362292d"",""polygon-pos"":""0xb7b31a6bc18e48888545ce79e83e06003be70930"",""robinhood"":""0x8f86a15ec17cb3369d8b3e666dadbc11daa82b79"",""solana"":""C1MHyoTJpRTeS9AQCyspNVu2EWAYCZwmJ1jNkEArFP1f""}},{""id"":""ape-lol"",""symbol"":""ape"",""name"":""Ape.lol"",""platforms"":{""solana"":""DF5yCVTfhVwvS1VRfHETNzEeh1n6DjAqEBs3kj9frdAr""}},{""id"":""apetos"",""symbol"":""ape"",""name"":""Apetos"",""platforms"":{""aptos"":""0xada35ada7e43e2ee1c39633ffccec38b76ce702b4efc2e60b50f63fbe4f710d8::apetos_token::ApetosCoin""}}]","7196579ce8a633254d342fbb23a362e5ef36c8f99bcb786b6e30c1bc001f4216","ambiguous_current_candidates","False"
"APENFT","APENFT","2","8077","0","","","[]","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","no_current_candidate","False"
"API3","API3","2","23614","1","api3","Api3","[{""id"":""api3"",""symbol"":""api3"",""name"":""Api3"",""platforms"":{""ethereum"":""0x0b38210ea11411557c13457d4da7dc6ea731b88a""}}]","91be53382fca0553feb90b57b835ec900ba1931f9a3d842fcbd33905388965be","single_current_candidate_review_required","False"
"APT","APT","2","31053","1","aptos","Aptos","[{""id"":""aptos"",""symbol"":""apt"",""name"":""Aptos"",""platforms"":{""aptos"":""0x1::aptos_coin::AptosCoin""}}]","f847043f668b653505557604207c142da999ab0d75c81d49175788217ab4c151","single_current_candidate_review_required","False"
"APU","APU","2","32683","5","apu|apu-apustaja|apu-apustaja-sol|apu-s-club|based-apu","APU|Apu Apustaja|Apu Apustaja|Apu Apustaja (Solana)|Based Apu","[{""id"":""apu"",""symbol"":""apu"",""name"":""APU"",""platforms"":{""solana"":""24Kko3VWwMKtkB9CVct2ZAZgJzb2R2iNrYxCpTYFpump""}},{""id"":""apu-apustaja"",""symbol"":""apu"",""name"":""Apu Apustaja"",""platforms"":{""solana"":""AhPo2fs5cfUyDhG7cvR67wwKg9UeFsF7mng368EB4oCn""}},{""id"":""apu-apustaja-sol"",""symbol"":""apu"",""name"":""Apu Apustaja (Solana)"",""platforms"":{""solana"":""ECutGg12PNhqhkvnH1s1FcuXgCDzKDNhSf5aLtANioR7""}},{""id"":""apu-s-club"",""symbol"":""apu"",""name"":""Apu Apustaja"",""platforms"":{""arbitrum-one"":""0x1f53b7aa6f4b36b7dfdedb4bc4a14747a19cf7b1"",""base"":""0xb9926b3fbc5873db0182016d55727d5ae89e5efd"",""ethereum"":""0x594daad7d77592a2b97b725a7ad59d7e188b5bfa"",""hyperliquid"":""0xf20a5f3285ec49d45360fa28d95d6ba3"",""solana"":""26s3UGB9hund1qspApy1zYgCritxAooGg7o63BMn89Yq""}},{""id"":""based-apu"",""symbol"":""apu"",""name"":""Based Apu"",""platforms"":{""base"":""0x6f35720b272bf23832852b13ae9888c706e1a379""}}]","60f8cb3418f2307587750dbd6073e926886967f555bec17a424835c99143af0b","ambiguous_current_candidates","False"
"AR","AR","2","9861","1","arweave","Arweave","[{""id"":""arweave"",""symbol"":""ar"",""name"":""Arweave"",""platforms"":{}}]","d3c6a5c573325d9d94848d6e3837b1d9fb2357351aaa6a9969084df9774255f6","single_current_candidate_review_required","False"
"ARB","ARB","2","33149","2","arbitrage-loop|arbitrum","Arbitrage Loop|Arbitrum","[{""id"":""arbitrage-loop"",""symbol"":""arb"",""name"":""Arbitrage Loop"",""platforms"":{""solana"":""EDcdVtzW4HG7Xtg5yH3RbzMEyfudg63RmZgdXpQFUk3s""}},{""id"":""arbitrum"",""symbol"":""arb"",""name"":""Arbitrum"",""platforms"":{""arbitrum-nova"":""0xf823c3cd3cebe0a1fa952ba88dc9eef8e0bf46ad"",""arbitrum-one"":""0x912ce59144191c1204e64559fe8253a0e49e6548"",""ethereum"":""0xb50721bcf8d664c30412cfbc6cf7a15145234ad1""}}]","6aac7c3016c6105273f02a35d4e191ff7ba53ac1a8fe8defaa0ba5839f584c34","ambiguous_current_candidates","False"
"ARC","ARC","2","2133","6","ai-rig-complex|arc|arcadeum|archly-finance|reactor-3|redemption-arc","AI Rig Complex|ARC|Arcadeum|Archly Finance|Reactor|Redemption Arc","[{""id"":""ai-rig-complex"",""symbol"":""arc"",""name"":""AI Rig Complex"",""platforms"":{""solana"":""61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump""}},{""id"":""arc"",""symbol"":""arc"",""name"":""ARC"",""platforms"":{""ethereum"":""0x672fdba7055bddfa8fd6bd45b1455ce5eb97f499""}},{""id"":""arcadeum"",""symbol"":""arc"",""name"":""Arcadeum"",""platforms"":{""arbitrum-one"":""0x7f465507f058e17ad21623927a120ac05ca32741""}},{""id"":""archly-finance"",""symbol"":""arc"",""name"":""Archly Finance"",""platforms"":{""arbitrum-one"":""0xe8876189a80b2079d8c0a7867e46c50361d972c1"",""avalanche"":""0xe8876189a80b2079d8c0a7867e46c50361d972c1"",""base"":""0xe8876189a80b2079d8c0a7867e46c50361d972c1"",""ethereum"":""0x9482c407d32204462d8cbbc0755e96c39b79878e"",""zksync"":""0xfb4c64c144c2bd0e7f2a06da7d6aac32d8cb2514""}},{""id"":""reactor-3"",""symbol"":""arc"",""name"":""Reactor"",""platforms"":{""base"":""0x5a4342f4268a731f4459cd0be22d4744a86d635d""}},{""id"":""redemption-arc"",""symbol"":""arc"",""name"":""Redemption Arc"",""platforms"":{""solana"":""DCgZjb2LN5r9Ck5VZAATh8x3sTUHyTzEguThGqh1pump""}}]","93445c4a7cac73e2752719f54abc2a40f6f9144872d20e9026f423bd2bc0cb47","ambiguous_current_candidates","False"
"ARKM","ARKM","2","11265","1","arkham","Arkham","[{""id"":""arkham"",""symbol"":""arkm"",""name"":""Arkham"",""platforms"":{""ethereum"":""0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050""}}]","346d626240fb2e70b091cbabc11ec821f24b9211dd1d4ed8ec40eabeb834051c","single_current_candidate_review_required","False"
"ARPA","ARPA","2","4571","1","arpa","ARPA","[{""id"":""arpa"",""symbol"":""arpa"",""name"":""ARPA"",""platforms"":{""binance-smart-chain"":""0x6f769e65c14ebd1f68817f5f1dcdb61cfa2d6f7e"",""ethereum"":""0xba50933c268f567bdc86e1ac131be072c6b0b71a"",""polygon-pos"":""0xee800b277a96b0f490a1a732e1d6395fad960a26""}}]","8255e7205e1f9da879d8ec554b627be89100fe211a2b45179bf01f70f269fe9b","single_current_candidate_review_required","False"
"ASRR","ASRR","2","3492","1","assisterr-ai","Assisterr AI","[{""id"":""assisterr-ai"",""symbol"":""asrr"",""name"":""Assisterr AI"",""platforms"":{""binance-smart-chain"":""0xf7626c7ff7b778aaf187d508d056a9398d9545d1"",""solana"":""ASRRjA1R4RHVk5H9QKKm1jaQqMkxvv6nh5EypPrvwmxQ""}}]","98b9a02866a3e040fe048a323b60aba143507065acbeed375286bc1babe90fbf","single_current_candidate_review_required","False"
"ASTR","ASTR","2","8735","2","astar|soneium-bridged-astar-soneium","Astar|Soneium Bridged ASTR (Soneium)","[{""id"":""astar"",""symbol"":""astr"",""name"":""Astar"",""platforms"":{""ethereum"":""0xf27441230eadeac85b764610325cc9a0d7859689""}},{""id"":""soneium-bridged-astar-soneium"",""symbol"":""astr"",""name"":""Soneium Bridged ASTR (Soneium)"",""platforms"":{""soneium"":""0x2cae934a1e84f693fbb78ca5ed3b0a6893259441""}}]","59b311e8383edeab24ffc500e3c275b2a823745e07ddda73e215ee58711ac2ff","ambiguous_current_candidates","False"
