"base_asset_id","base_exchange_symbol","candidate_ids","mapping_status","approved_coingecko_id","decision_basis","evidence_note"
"ARC","ARC","ai-rig-complex|arc|arcadeum|archly-finance|reactor-3|redemption-arc","APPROVED","ai-rig-complex","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies AI Rig Complex (ARC); selects AF-002 ai-rig-complex over same-ticker alternatives. Source: https://www.kraken.com/prices/ai-rig-complex"
"ARKM","ARKM","arkham","APPROVED","arkham","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: arkham:2"
"ARPA","ARPA","arpa","APPROVED","arpa","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: arpa:1"
"ASRR","ASRR","assisterr-ai","APPROVED","assisterr-ai","KRAKEN_MICA_HISTORY_NAME_TICKER","Kraken registry identifies Assisterr (ASRR); AF-002 candidate Assisterr AI uses same unique ticker/project. Source: https://www.kraken.com/legal/mica-whitepapers/history"
"ASTR","ASTR","astar|soneium-bridged-astar-soneium","APPROVED","astar","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: astar:2|soneium-bridged-astar-soneium:0"
"ATH","ATH","aethir|ath|athenadao-token|high-af","APPROVED","aethir","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: aethir:2|ath:0|athenadao-token:0|high-af:0"
"ATLAS","ATLAS","atlas-2|maga-dog|star-atlas","APPROVED","star-atlas","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Star Atlas (ATLAS) and listing history predates Q2; selects AF-002 Star Atlas. Source: https://www.kraken.com/prices/star-atlas"
"ATOM","ATOM","cosmos","APPROVED","cosmos","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cosmos:5"
"AUCTION","AUCTION","auction|house-3","APPROVED","auction","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: auction:1|house-3:0"
"AUDIO","AUDIO","audius","APPROVED","audius","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: audius:1"
"AVAAI","AVAAI","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"AVAX","AVAX","avalanche-2|avalanche-wormhole|beam-bridged-avax-beam|binance-peg-avalanche","APPROVED","avalanche-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: avalanche-2:3|avalanche-wormhole:0|beam-bridged-avax-beam:0|binance-peg-avalanche:0"
"AXS","AXS","axie-infinity","APPROVED","axie-infinity","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: axie-infinity:2"
"B3","B3","b3","APPROVED","b3","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: b3:1"
"BABY","BABY","a-fund-baby|baby|baby-2|babylon|baby-samo-coin|babyswap|dancing-baby|deer-seized-by-us-government|niche-baby","APPROVED","babylon","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: a-fund-baby:0|baby:0|baby-2:0|babylon:2|baby-samo-coin:0|babyswap:0|dancing-baby:0|deer-seized-by-us-government:0|niche-baby:0"
"BADGER","BADGER","badger-badger-badger|badger-dao","APPROVED","badger-dao","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: badger-badger-badger:0|badger-dao:1"
"BAL","BAL","balancer","APPROVED","balancer","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: balancer:2"
"BANANAS31","BANANAS31","banana-for-scale-2","APPROVED","banana-for-scale-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: banana-for-scale-2:2"
"BAND","BAND","band-protocol","APPROVED","band-protocol","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: band-protocol:2"
"BAT","BAT","basic-attention-token|batic|bitbat-token","APPROVED","basic-attention-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: basic-attention-token:2|batic:0|bitbat-token:0"
"BCH","BCH","binance-peg-bitcoin-cash|bitcoin-cash","APPROVED","bitcoin-cash","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: binance-peg-bitcoin-cash:0|bitcoin-cash:6"
"BDXN","BDXN","bondex","APPROVED","bondex","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Bondex (BDXN); AF-002 candidate matches. Source: https://www.kraken.com/prices/bondex"
"BEAM","BEAM","beam|beam-2","APPROVED","beam-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: beam:0|beam-2:2"
"BERA","BERA","berachain-bera","APPROVED","berachain-bera","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: berachain-bera:2"
"BICO","BICO","biconomy","APPROVED","biconomy","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: biconomy:1"
"BIGTIME","BIGTIME","big-time","APPROVED","big-time","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: big-time:1"
"BIO","BIO","bio-protocol|bio-unit-000","APPROVED","bio-protocol","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: bio-protocol:2|bio-unit-000:0"
"BIT","BIT","biconomy-exchange-token|bitdao|bitdealer","APPROVED","bitdao","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly listed BitDAO (BIT); selects AF-002 bitdao over same-ticker alternatives. Source: https://blog.kraken.com/product/trading-for-adx-bit-chr-and-more-starts-june-9-deposit-now"
"BLUR","BLUR","blur","APPROVED","blur","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: blur:2"
"BLZ","BLZ","bluzelle","APPROVED","bluzelle","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: bluzelle:1"
"BMT","BMT","bitcoin-maxi-tears-2|bubblemaps","APPROVED","bubblemaps","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: bitcoin-maxi-tears-2:0|bubblemaps:2"
"BNB","BNB","anubis-bridged-bnb-anubis|binancecoin","APPROVED","binancecoin","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: anubis-bridged-bnb-anubis:0|binancecoin:4"
"BNC","BNC","bifrost-native-coin|bnc","APPROVED","bifrost-native-coin","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly identifies Bifrost (BNC); selects AF-002 bifrost-native-coin. Source: https://blog.kraken.com/product/trading-for-toke-movr-pha-and-more-starts-now-for-the-usa-and-ca"
"BNT","BNT","bancor","APPROVED","bancor","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: bancor:2"
"BOBA","BOBA","bobacat|boba-network","APPROVED","boba-network","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: bobacat:0|boba-network:2"
"BODEN","BODEN","jeo-boden","APPROVED","jeo-boden","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: jeo-boden:1"
"BOND","BOND","barnbridge","APPROVED","barnbridge","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies BarnBridge (BOND); AF-002 candidate matches. Source: https://www.kraken.com/prices/barnbridge"
"BONK","BONK","based-bonk|bonk|bonk-on-base|bonk-on-eth","APPROVED","bonk","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: based-bonk:0|bonk:2|bonk-on-base:0|bonk-on-eth:0"
"BRICK","BRICK","brickcoin|brickton","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"BSX","BSX","basex|basilisk","APPROVED","basilisk","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken historical listing identifies Basilisk (BSX); selects AF-002 basilisk. Source: https://blog.kraken.com/product/trading-for-toke-movr-pha-and-more-starts-now-for-the-usa-and-ca"
"BTT","BTT","bittorrent","APPROVED","bittorrent","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: bittorrent:2"
"C98","C98","coin98","APPROVED","coin98","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: coin98:1"
"CAKE","CAKE","pancakeswap-token","APPROVED","pancakeswap-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: pancakeswap-token:1"
"CAT","CAT","cat-2|cat-3|cat-call-agent|cat-cat-token|catcoin|catcoin-bsc|catcoin-cash|catcoin-eth|caterpillar-dinari-tokenized-stock|cat-inu|catson|cat-terminal|cat-token|simon-s-cat|sol-cat","APPROVED","simon-s-cat","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cat-2:0|cat-3:0|cat-call-agent:0|cat-cat-token:0|catcoin:0|catcoin-bsc:0|catcoin-cash:0|catcoin-eth:0|caterpillar-dinari-tokenized-stock:0|cat-inu:0|catson:0|cat-terminal:0|cat-token:0|simon-s-cat:1|sol-cat:0"
"CELO","CELO","celo","APPROVED","celo","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: celo:2"
"CELR","CELR","celer-network","APPROVED","celer-network","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: celer-network:2"
"CFG","CFG","centrifuge|centrifuge-2","APPROVED","centrifuge","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: centrifuge:2|centrifuge-2:0"
"CHEEMS","CHEEMS","cheems|cheems-cto|cheems-token|og-cheems","APPROVED","cheems-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cheems:0|cheems-cto:0|cheems-token:1|og-cheems:0"
"CHEX","CHEX","chex-token","APPROVED","chex-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: chex-token:1"
"CHR","CHR","chromaway|chronos-finance","APPROVED","chromaway","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: chromaway:1|chronos-finance:0"
"CHZ","CHZ","chiliz","APPROVED","chiliz","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: chiliz:1"
"CLANKER","CLANKER","clanker|clanker-2|tokenbot-2","APPROVED","tokenbot-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: clanker:0|clanker-2:0|tokenbot-2:1"
"CLOUD","CLOUD","cloudai|cloudbase|crypto-clouds|decloud|sanctum-2","APPROVED","sanctum-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cloudai:0|cloudbase:0|crypto-clouds:0|decloud:0|sanctum-2:1"
"CLV","CLV","clevernode|clover-finance","APPROVED","clover-finance","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly listed Clover Finance (CLV); selects AF-002 clover-finance. Source: https://blog.kraken.com/product/asset-listings/acx-clv-and-flux-are-available-for-trading"
"CMETH","CMETH","mantle-restaked-eth","APPROVED","mantle-restaked-eth","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Mantle Restaked ETH (CMETH); AF-002 candidate matches. Source: https://www.kraken.com/prices/mantle-restaked-eth"
"COMP","COMP","compound-governance-token","APPROVED","compound-governance-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: compound-governance-token:2"
"COOKIE","COOKIE","cookie|cookiebase","APPROVED","cookie","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cookie:1|cookiebase:0"
"CORN","CORN","corn-2|corn-3|solanacorn","APPROVED","corn-3","KRAKEN_PROJECT_PLUS_COINGECKO_CANONICAL_ID","Kraken identifies CORN as the native token of the Corn BTCFi network with 2.1B supply; CoinGecko corn-3 identifies usecorn.com Corn with 2.1B supply and API ID corn-3. Source: https://blog.kraken.com/product/asset-listings/corn-is-available-for-trading Secondary source: https://www.coingecko.com/en/coins/corn-3"
"COTI","COTI","coti","APPROVED","coti","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: coti:2"
"COW","COW","cow|cowcoin-2|cow-protocol|perpetual-cow","APPROVED","cow-protocol","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cow:0|cowcoin-2:0|cow-protocol:2|perpetual-cow:0"
"CPOOL","CPOOL","clearpool","APPROVED","clearpool","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: clearpool:2"
"CQT","CQT","","APPROVED","covalent-x-token","KRAKEN_MIGRATION_PLUS_COINGECKO_REFERENCE","Kraken explicitly documents the 1:1 CQT to CXT migration and listing of CXT; CoinGecko reference evidence identifies Covalent X Token as covalent-x-token / CXT. Source: https://support.kraken.com/articles/important-information-on-cqt-covalent Secondary source: candidate-analysis/CFA-Stage2-Expanded-CoinGecko-Candidates.csv"
"CRO","CRO","cronos-zkevm-bridged-cro-cronos-zkevm|crypto-com-chain","APPROVED","crypto-com-chain","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cronos-zkevm-bridged-cro-cronos-zkevm:0|crypto-com-chain:3"
"CRV","CRV","bridged-curve-dao-token-stargate|curve-dao-token","APPROVED","curve-dao-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: bridged-curve-dao-token-stargate:0|curve-dao-token:2"
"CSM","CSM","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"CTSI","CTSI","cartesi","APPROVED","cartesi","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cartesi:1"
"CVC","CVC","civic","APPROVED","civic","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: civic:1"
"CVX","CVX","chevron-corp-dinari-tokenized-stock|convex-finance","APPROVED","convex-finance","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: chevron-corp-dinari-tokenized-stock:0|convex-finance:2"
"CXT","CXT","covalent-x-token","APPROVED","covalent-x-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: covalent-x-token:2"
"CYBER","CYBER","cyberconnect|cyberpunk-city","APPROVED","cyberconnect","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cyberconnect:2|cyberpunk-city:0"
"DAI","DAI","anubis-bridged-dai-anubis|avalanche-bridged-dai-avalanche|binance-peg-dai|bridged-dai|bridged-dai-stablecoin-linea|bridged-dai-starkgate|celer-bridged-dai-astar|crypto-com-bridged-dai-cronos|dai|dai-on-pulsechain|dai-pulsechain|harmony-horizon-bridged-dai-harmony-shard-0|l2-standard-bridged-dai-base|makerdao-arbitrum-bridged-dai-arbitrum-one|makerdao-arbitrum-nova-dai-bridge-arbitrum-nova|makerdao-optimism-bridged-dai-optimism|multichain-bridged-dai-energi|multichain-bridged-dai-fantom|multichain-bridged-dai-moonbeam|multichain-bridged-dai-moonriver|nova-dai|omnibridge-bridged-dai-gnosis-chain|polygon-pos-bridged-dai-polygon-pos|polygon-zkevm-bridged-dai-polygon-zkevm|rainbow-bridged-dai-aurora|rainbow-bridged-dai-near-protocol|starkgate-bridged-dai-v2-starknet|zksync-erc20-bridged-dai-zksync","APPROVED","dai","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: anubis-bridged-dai-anubis:0|avalanche-bridged-dai-avalanche:0|binance-peg-dai:0|bridged-dai:0|bridged-dai-stablecoin-linea:0|bridged-dai-starkgate:0|celer-bridged-dai-astar:0|crypto-com-bridged-dai-cronos:0|dai:3|dai-on-pulsechain:0|dai-pulsechain:0|harmony-horizon-bridged-dai-harmony-shard-0:0|l2-standard-bridged-dai-base:0|makerdao-arbitrum-bridged-dai-arbitrum-one:0|makerdao-arbitrum-nova-dai-bridge-arbitrum-nova:0|makerdao-optimism-bridged-dai-optimism:0|multichain-bridged-dai-energi:0|multichain-bridged-dai-fantom:0|multichain-bridged-dai-moonbeam:0|multichain-bridged-dai-moonriver:0|nova-dai:0|omnibridge-bridged-dai-gnosis-chain:0|polygon-pos-bridged-dai-polygon-pos:0|polygon-zkevm-bridged-dai-polygon-zkevm:0|rainbow-bridged-dai-aurora:0|rainbow-bridged-dai-near-protocol:0|starkgate-bridged-dai-v2-starknet:0|zksync-erc20-bridged-dai-zksync:0"
"DASH","DASH","dash|dash-2","APPROVED","dash","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: dash:2|dash-2:0"
"DBR","DBR","debridge|dola-borrowing-right","APPROVED","debridge","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: debridge:1|dola-borrowing-right:0"
"DEEP","DEEP","deep|deeployer","APPROVED","deep","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: deep:2|deeployer:0"
"DEGEN","DEGEN","degen-arena|degen-base|degenerate|degen-social-media|degenstogether|degen-the-otter-3|degen-the-otter-4","APPROVED","degen-base","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: degen-arena:0|degen-base:2|degenerate:0|degen-social-media:0|degenstogether:0|degen-the-otter-3:0|degen-the-otter-4:0"
"DENT","DENT","dent","APPROVED","dent","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: dent:4"
"DMC","DMC","decentralized-mining-exchange|delorean","APPROVED","delorean","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: decentralized-mining-exchange:0|delorean:1"
"DOG","DOG","base-dog|basic-dog-meme|dog-4|dog-go-to-the-moon-rune|its-just-a-dog|it-s-just-a-dog|just-a-dog|ledog-dog|nietzschean-dog|the-crypto-dog|the-doge-nft","APPROVED","dog-go-to-the-moon-rune","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: base-dog:0|basic-dog-meme:0|dog-4:0|dog-go-to-the-moon-rune:2|its-just-a-dog:0|it-s-just-a-dog:0|just-a-dog:0|ledog-dog:0|nietzschean-dog:0|the-crypto-dog:0|the-doge-nft:0"
"DOGS","DOGS","doggensnout-skeptic|dogs-2|dont-tread-on-me|we-love-dogs","APPROVED","dogs-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: doggensnout-skeptic:0|dogs-2:2|dont-tread-on-me:0|we-love-dogs:0"
"DOLO","DOLO","dolomite","APPROVED","dolomite","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Dolomite (DOLO); AF-002 candidate matches. Source: https://www.kraken.com/prices/dolomite"
"DOT","DOT","binance-peg-polkadot|dot|pippin-s-friend|polkadot|xcdot","APPROVED","polkadot","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: binance-peg-polkadot:0|dot:0|pippin-s-friend:0|polkadot:7|xcdot:0"
"DRIFT","DRIFT","drift-protocol","APPROVED","drift-protocol","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: drift-protocol:2"
"DRV","DRV","derive","APPROVED","derive","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: derive:2"
