"base_asset_id","base_exchange_symbol","quote_exchange_symbols","candidate_count","candidate_ids","active_candidate_ids","kraken_pair_bridge_candidate_ids","kraken_pair_bridge_counts","cfa_independent_review_decision","approved_candidate_id"
"ALT","ALT","EUR|USD","5","alitas|alt|altcoin-2|altdeer|altlayer","","altlayer","alitas:0|alt:0|altcoin-2:0|altdeer:0|altlayer:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","altlayer"
"ANKR","ANKR","EUR|USD|XBT","1","ankr","","ankr","ankr:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","ankr"
"ANLOG","ANLOG","EUR|USD","1","analog","","","analog:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ANON","ANON","EUR|USD","6","anon-2|anon-ton|anonymous|anonymous-coin-2|heyanon|super-anon","","heyanon","anon-2:0|anon-ton:0|anonymous:0|anonymous-coin-2:0|heyanon:2|super-anon:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","heyanon"
"APE","APE","EUR|USD|USDC|USDT","4","ape-3|apecoin|ape-lol|apetos","","apecoin","ape-3:0|apecoin:2|ape-lol:0|apetos:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","apecoin"
"APENFT","APENFT","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"API3","API3","EUR|USD","1","api3","","api3","api3:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","api3"
"APT","APT","EUR|USD","1","aptos","","aptos","aptos:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","aptos"
"APU","APU","EUR|USD","5","apu|apu-apustaja|apu-apustaja-sol|apu-s-club|based-apu","","apu-s-club","apu:0|apu-apustaja:0|apu-apustaja-sol:0|apu-s-club:2|based-apu:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","apu-s-club"
"AR","AR","EUR|USD","1","arweave","","arweave","arweave:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","arweave"
"ARB","ARB","EUR|USD","2","arbitrage-loop|arbitrum","","arbitrum","arbitrage-loop:0|arbitrum:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","arbitrum"
"ARC","ARC","EUR|USD","6","ai-rig-complex|arc|arcadeum|archly-finance|reactor-3|redemption-arc","","","ai-rig-complex:0|arc:0|arcadeum:0|archly-finance:0|reactor-3:0|redemption-arc:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ARKM","ARKM","EUR|USD","1","arkham","","arkham","arkham:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","arkham"
"ARPA","ARPA","EUR|USD","1","arpa","","arpa","arpa:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","arpa"
"ASRR","ASRR","EUR|USD","1","assisterr-ai","","","assisterr-ai:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ASTR","ASTR","EUR|USD","2","astar|soneium-bridged-astar-soneium","","astar","astar:2|soneium-bridged-astar-soneium:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","astar"
"ATH","ATH","EUR|USD","4","aethir|ath|athenadao-token|high-af","","aethir","aethir:2|ath:0|athenadao-token:0|high-af:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","aethir"
"ATLAS","ATLAS","EUR|USD","3","atlas-2|maga-dog|star-atlas","","","atlas-2:0|maga-dog:0|star-atlas:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ATOM","ATOM","ETH|EUR|GBP|USD|USDC|USDT|XBT","1","cosmos","","cosmos","cosmos:5","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","cosmos"
"AUCTION","AUCTION","EUR|USD","2","auction|house-3","","auction","auction:1|house-3:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","auction"
"AUDIO","AUDIO","EUR|USD","1","audius","","audius","audius:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","audius"
"AVAAI","AVAAI","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"AVAX","AVAX","EUR|USD|USDC|USDT","4","avalanche-2|avalanche-wormhole|beam-bridged-avax-beam|binance-peg-avalanche","","avalanche-2","avalanche-2:3|avalanche-wormhole:0|beam-bridged-avax-beam:0|binance-peg-avalanche:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","avalanche-2"
"AXS","AXS","EUR|USD","1","axie-infinity","","axie-infinity","axie-infinity:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","axie-infinity"
"B3","B3","EUR|USD","1","b3","","b3","b3:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","b3"
"BABY","BABY","EUR|USD","9","a-fund-baby|baby|baby-2|babylon|baby-samo-coin|babyswap|dancing-baby|deer-seized-by-us-government|niche-baby","","babylon","a-fund-baby:0|baby:0|baby-2:0|babylon:2|baby-samo-coin:0|babyswap:0|dancing-baby:0|deer-seized-by-us-government:0|niche-baby:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","babylon"
"BADGER","BADGER","EUR|USD","2","badger-badger-badger|badger-dao","","badger-dao","badger-badger-badger:0|badger-dao:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","badger-dao"
"BAL","BAL","EUR|USD","1","balancer","","balancer","balancer:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","balancer"
"BANANAS31","BANANAS31","EUR|USD","1","banana-for-scale-2","","banana-for-scale-2","banana-for-scale-2:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","banana-for-scale-2"
"BAND","BAND","EUR|USD","1","band-protocol","","band-protocol","band-protocol:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","band-protocol"
"BAT","BAT","EUR|USD","3","basic-attention-token|batic|bitbat-token","","basic-attention-token","basic-attention-token:2|batic:0|bitbat-token:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","basic-attention-token"
"BCH","BCH","AUD|ETH|EUR|GBP|JPY|USD|USDC|USDT|XBT","2","binance-peg-bitcoin-cash|bitcoin-cash","","bitcoin-cash","binance-peg-bitcoin-cash:0|bitcoin-cash:6","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","bitcoin-cash"
"BDXN","BDXN","EUR|USD","1","bondex","","","bondex:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"BEAM","BEAM","EUR|USD","2","beam|beam-2","","beam-2","beam:0|beam-2:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","beam-2"
"BERA","BERA","EUR|USD|USDC|USDT","1","berachain-bera","","berachain-bera","berachain-bera:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","berachain-bera"
"BICO","BICO","EUR|USD","1","biconomy","","biconomy","biconomy:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","biconomy"
"BIGTIME","BIGTIME","EUR|USD","1","big-time","","big-time","big-time:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","big-time"
"BIO","BIO","EUR|USD","2","bio-protocol|bio-unit-000","","bio-protocol","bio-protocol:2|bio-unit-000:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","bio-protocol"
"BIT","BIT","EUR|USD","3","biconomy-exchange-token|bitdao|bitdealer","","","biconomy-exchange-token:0|bitdao:0|bitdealer:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"BLUR","BLUR","EUR|USD","1","blur","","blur","blur:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","blur"
"BLZ","BLZ","EUR|USD","1","bluzelle","","bluzelle","bluzelle:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","bluzelle"
"BMT","BMT","EUR|USD","2","bitcoin-maxi-tears-2|bubblemaps","","bubblemaps","bitcoin-maxi-tears-2:0|bubblemaps:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","bubblemaps"
"BNB","BNB","EUR|USD|USDC|USDT","2","anubis-bridged-bnb-anubis|binancecoin","","binancecoin","anubis-bridged-bnb-anubis:0|binancecoin:4","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","binancecoin"
"BNC","BNC","EUR|USD","2","bifrost-native-coin|bnc","","","bifrost-native-coin:0|bnc:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"BNT","BNT","EUR|USD","1","bancor","","bancor","bancor:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","bancor"
"BOBA","BOBA","EUR|USD","2","bobacat|boba-network","","boba-network","bobacat:0|boba-network:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","boba-network"
"BODEN","BODEN","EUR|USD","1","jeo-boden","","jeo-boden","jeo-boden:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","jeo-boden"
"BOND","BOND","EUR|USD","1","barnbridge","","","barnbridge:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"BONK","BONK","EUR|USD","4","based-bonk|bonk|bonk-on-base|bonk-on-eth","","bonk","based-bonk:0|bonk:2|bonk-on-base:0|bonk-on-eth:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","bonk"
"BRICK","BRICK","EUR|USD","2","brickcoin|brickton","","","brickcoin:0|brickton:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"BSX","BSX","EUR|USD","2","basex|basilisk","","","basex:0|basilisk:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"BTT","BTT","EUR|USD","1","bittorrent","","bittorrent","bittorrent:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","bittorrent"
"C98","C98","EUR|USD","1","coin98","","coin98","coin98:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","coin98"
"CAKE","CAKE","EUR|USD","1","pancakeswap-token","","pancakeswap-token","pancakeswap-token:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","pancakeswap-token"
"CAT","CAT","EUR|USD","15","cat-2|cat-3|cat-call-agent|cat-cat-token|catcoin|catcoin-bsc|catcoin-cash|catcoin-eth|caterpillar-dinari-tokenized-stock|cat-inu|catson|cat-terminal|cat-token|simon-s-cat|sol-cat","","simon-s-cat","cat-2:0|cat-3:0|cat-call-agent:0|cat-cat-token:0|catcoin:0|catcoin-bsc:0|catcoin-cash:0|catcoin-eth:0|caterpillar-dinari-tokenized-stock:0|cat-inu:0|catson:0|cat-terminal:0|cat-token:0|simon-s-cat:1|sol-cat:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","simon-s-cat"
"CELO","CELO","EUR|USD","1","celo","","celo","celo:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","celo"
"CELR","CELR","EUR|USD","1","celer-network","","celer-network","celer-network:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","celer-network"
"CFG","CFG","EUR|USD","2","centrifuge|centrifuge-2","","centrifuge","centrifuge:2|centrifuge-2:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","centrifuge"
"CHEEMS","CHEEMS","EUR|USD","4","cheems|cheems-cto|cheems-token|og-cheems","","cheems-token","cheems:0|cheems-cto:0|cheems-token:1|og-cheems:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","cheems-token"
"CHEX","CHEX","EUR|USD","1","chex-token","","chex-token","chex-token:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","chex-token"
"CHR","CHR","EUR|USD","2","chromaway|chronos-finance","","chromaway","chromaway:1|chronos-finance:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","chromaway"
"CHZ","CHZ","EUR|USD","1","chiliz","","chiliz","chiliz:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","chiliz"
"CLANKER","CLANKER","EUR|USD","3","clanker|clanker-2|tokenbot-2","","tokenbot-2","clanker:0|clanker-2:0|tokenbot-2:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","tokenbot-2"
"CLOUD","CLOUD","EUR|USD","5","cloudai|cloudbase|crypto-clouds|decloud|sanctum-2","","sanctum-2","cloudai:0|cloudbase:0|crypto-clouds:0|decloud:0|sanctum-2:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","sanctum-2"
"CLV","CLV","EUR|USD","2","clevernode|clover-finance","","","clevernode:0|clover-finance:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"CMETH","CMETH","ETH|USD","1","mantle-restaked-eth","","","mantle-restaked-eth:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"COMP","COMP","EUR|USD|XBT","1","compound-governance-token","","compound-governance-token","compound-governance-token:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","compound-governance-token"
"COOKIE","COOKIE","EUR|USD","2","cookie|cookiebase","","cookie","cookie:1|cookiebase:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","cookie"
"CORN","CORN","EUR|USD","3","corn-2|corn-3|solanacorn","","","corn-2:0|corn-3:0|solanacorn:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"COTI","COTI","EUR|USD","1","coti","","coti","coti:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","coti"
"COW","COW","EUR|USD","4","cow|cowcoin-2|cow-protocol|perpetual-cow","","cow-protocol","cow:0|cowcoin-2:0|cow-protocol:2|perpetual-cow:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","cow-protocol"
"CPOOL","CPOOL","EUR|USD","1","clearpool","","clearpool","clearpool:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","clearpool"
"CQT","CQT","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"CRO","CRO","EUR|USD|USDC|USDT","2","cronos-zkevm-bridged-cro-cronos-zkevm|crypto-com-chain","","crypto-com-chain","cronos-zkevm-bridged-cro-cronos-zkevm:0|crypto-com-chain:3","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","crypto-com-chain"
"CRV","CRV","EUR|USD","2","bridged-curve-dao-token-stargate|curve-dao-token","","curve-dao-token","bridged-curve-dao-token-stargate:0|curve-dao-token:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","curve-dao-token"
"CSM","CSM","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"CTSI","CTSI","EUR|USD","1","cartesi","","cartesi","cartesi:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","cartesi"
"CVC","CVC","EUR|USD","1","civic","","civic","civic:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","civic"
"CVX","CVX","EUR|USD","2","chevron-corp-dinari-tokenized-stock|convex-finance","","convex-finance","chevron-corp-dinari-tokenized-stock:0|convex-finance:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","convex-finance"
"CXT","CXT","EUR|USD","1","covalent-x-token","","covalent-x-token","covalent-x-token:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","covalent-x-token"
"CYBER","CYBER","EUR|USD","2","cyberconnect|cyberpunk-city","","cyberconnect","cyberconnect:2|cyberpunk-city:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","cyberconnect"
"DAI","DAI","EUR|USD|USDT","28","anubis-bridged-dai-anubis|avalanche-bridged-dai-avalanche|binance-peg-dai|bridged-dai|bridged-dai-stablecoin-linea|bridged-dai-starkgate|celer-bridged-dai-astar|crypto-com-bridged-dai-cronos|dai|dai-on-pulsechain|dai-pulsechain|harmony-horizon-bridged-dai-harmony-shard-0|l2-standard-bridged-dai-base|makerdao-arbitrum-bridged-dai-arbitrum-one|makerdao-arbitrum-nova-dai-bridge-arbitrum-nova|makerdao-optimism-bridged-dai-optimism|multichain-bridged-dai-energi|multichain-bridged-dai-fantom|multichain-bridged-dai-moonbeam|multichain-bridged-dai-moonriver|nova-dai|omnibridge-bridged-dai-gnosis-chain|polygon-pos-bridged-dai-polygon-pos|polygon-zkevm-bridged-dai-polygon-zkevm|rainbow-bridged-dai-aurora|rainbow-bridged-dai-near-protocol|starkgate-bridged-dai-v2-starknet|zksync-erc20-bridged-dai-zksync","","dai","anubis-bridged-dai-anubis:0|avalanche-bridged-dai-avalanche:0|binance-peg-dai:0|bridged-dai:0|bridged-dai-stablecoin-linea:0|bridged-dai-starkgate:0|celer-bridged-dai-astar:0|crypto-com-bridged-dai-cronos:0|dai:3|dai-on-pulsechain:0|dai-pulsechain:0|harmony-horizon-bridged-dai-harmony-shard-0:0|l2-standard-bridged-dai-base:0|makerdao-arbitrum-bridged-dai-arbitrum-one:0|makerdao-arbitrum-nova-dai-bridge-arbitrum-nova:0|makerdao-optimism-bridged-dai-optimism:0|multichain-bridged-dai-energi:0|multichain-bridged-dai-fantom:0|multichain-bridged-dai-moonbeam:0|multichain-bridged-dai-moonriver:0|nova-dai:0|omnibridge-bridged-dai-gnosis-chain:0|polygon-pos-bridged-dai-polygon-pos:0|polygon-zkevm-bridged-dai-polygon-zkevm:0|rainbow-bridged-dai-aurora:0|rainbow-bridged-dai-near-protocol:0|starkgate-bridged-dai-v2-starknet:0|zksync-erc20-bridged-dai-zksync:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","dai"
"DASH","DASH","EUR|USD","2","dash|dash-2","","dash","dash:2|dash-2:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","dash"
"DBR","DBR","EUR|USD","2","debridge|dola-borrowing-right","","debridge","debridge:1|dola-borrowing-right:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","debridge"
"DEEP","DEEP","EUR|USD","2","deep|deeployer","","deep","deep:2|deeployer:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","deep"
"DEGEN","DEGEN","EUR|USD","7","degen-arena|degen-base|degenerate|degen-social-media|degenstogether|degen-the-otter-3|degen-the-otter-4","","degen-base","degen-arena:0|degen-base:2|degenerate:0|degen-social-media:0|degenstogether:0|degen-the-otter-3:0|degen-the-otter-4:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","degen-base"
"DENT","DENT","EUR|USD","1","dent","","dent","dent:4","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","dent"
"DMC","DMC","EUR|USD","2","decentralized-mining-exchange|delorean","","delorean","decentralized-mining-exchange:0|delorean:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","delorean"
"DOG","DOG","EUR|USD","11","base-dog|basic-dog-meme|dog-4|dog-go-to-the-moon-rune|its-just-a-dog|it-s-just-a-dog|just-a-dog|ledog-dog|nietzschean-dog|the-crypto-dog|the-doge-nft","","dog-go-to-the-moon-rune","base-dog:0|basic-dog-meme:0|dog-4:0|dog-go-to-the-moon-rune:2|its-just-a-dog:0|it-s-just-a-dog:0|just-a-dog:0|ledog-dog:0|nietzschean-dog:0|the-crypto-dog:0|the-doge-nft:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","dog-go-to-the-moon-rune"
"DOGS","DOGS","EUR|USD","4","doggensnout-skeptic|dogs-2|dont-tread-on-me|we-love-dogs","","dogs-2","doggensnout-skeptic:0|dogs-2:2|dont-tread-on-me:0|we-love-dogs:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","dogs-2"
"DOLO","DOLO","EUR|USD","1","dolomite","","","dolomite:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"DOT","DOT","ETH|EUR|GBP|JPY|USD|USDC|USDT|XBT","5","binance-peg-polkadot|dot|pippin-s-friend|polkadot|xcdot","","polkadot","binance-peg-polkadot:0|dot:0|pippin-s-friend:0|polkadot:7|xcdot:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","polkadot"
"DRIFT","DRIFT","EUR|USD","1","drift-protocol","","drift-protocol","drift-protocol:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","drift-protocol"
"DRV","DRV","EUR|USD","1","derive","","derive","derive:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","derive"
"DUCK","DUCK","EUR|USD","7","appduck-by-virtuals|dlp-duck-token|duckchain-token|duckcoin|duck-token|lemonade-stand-duck|the-duck","","duckchain-token","appduck-by-virtuals:0|dlp-duck-token:0|duckchain-token:2|duckcoin:0|duck-token:0|lemonade-stand-duck:0|the-duck:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","duckchain-token"
"DYDX","DYDX","EUR|USD","2","dydx-chain|dydx-wormhole","","","dydx-chain:0|dydx-wormhole:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"DYM","DYM","EUR|USD","1","dymension","","dymension","dymension:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","dymension"
"EDGE","EDGE","EUR|USD","4","definitive|edge|edge-2|edgex","","definitive|edgex","definitive:1|edge:0|edge-2:0|edgex:1","UNVERIFIED_MULTIPLE_KRAKEN_PAIR_BRIDGES",""
"EGLD","EGLD","EUR|USD","1","elrond-erd-2","","elrond-erd-2","elrond-erd-2:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","elrond-erd-2"
"EIGEN","EIGEN","EUR|USD","1","eigenlayer","","eigenlayer","eigenlayer:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","eigenlayer"
"ELX","ELX","EUR|USD","1","elixir-finance","","elixir-finance","elixir-finance:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","elixir-finance"
"ENA","ENA","EUR|USD","1","ethena","","ethena","ethena:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","ethena"
"ENJ","ENJ","EUR|USD","1","enjincoin","","enjincoin","enjincoin:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","enjincoin"
"ENS","ENS","EUR|USD","1","ethereum-name-service","","ethereum-name-service","ethereum-name-service:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","ethereum-name-service"
"EOS","EOS","EUR|USD|USDC|USDT","2","binance-peg-eos|eos","","","binance-peg-eos:0|eos:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ESX","ESX","EUR|USD","1","estatex","","","estatex:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ETHFI","ETHFI","EUR|USD","1","ether-fi","","ether-fi","ether-fi:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","ether-fi"
"ETHW","ETHW","ETH|EUR|USD","1","ethereum-pow-iou","","","ethereum-pow-iou:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"EUL","EUL","EUR|USD","1","euler","","euler","euler:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","euler"
"EUROP","EUROP","EUR|USD|USDC","1","schuman-europ","","schuman-europ","schuman-europ:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","schuman-europ"
"EURQ","EURQ","EUR|USD","1","quantoz-eurq","","quantoz-eurq","quantoz-eurq:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","quantoz-eurq"
"EURR","EURR","EUR|USD|USDC|USDT","1","stablr-euro","","","stablr-euro:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"EWT","EWT","EUR|USD","2","energy-web-token|ishares-msci-taiwan-etf-robinhood-token","","energy-web-token","energy-web-token:2|ishares-msci-taiwan-etf-robinhood-token:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","energy-web-token"
